ŠHpŠ<>dhXøxÊUÁ©Ðpä:Iƒÿ51;34;40;23;0;0;18;0;x
35;25;30;18;0;0;18;0;x
35;24;30;18;0;11;18;0;x
35;19;30;18;0;11;18;10;x
35;26;30;9;0;11;18;10;x
34;28;37;9;0;11;22;10;x
31;27;30;9;0;11;22;10;x
35;21;26;9;0;11;22;10;x
29;20;26;9;0;11;22;10;x
29;18;25;9;0;11;22;10;x
29;23;28;9;0;11;22;10;x
29;18;35;9;0;11;22;10;x
25;20;35;9;0;13;22;14;x
31;20;26;17;0;14;22;14;x
25;23;30;17;0;14;22;14;x
25;26;26;17;0;18;17;14;x
25;26;30;15;0;18;17;14;x
25;28;29;17;0;16;17;15;x
25;24;26;12;0;16;17;15;x
22;15;28;12;0;16;17;15;x
23;23;25;12;0;16;17;15;x
23;21;25;12;0;16;17;15;x
23;27;40;12;0;14;17;15;x
23;29;35;14;0;14;17;20;x
23;34;37;21;0;14;17;22;x
45;40;42;21;0;14;17;22;x
28;31;31;21;0;16;17;22;x
29;19;27;21;0;16;17;22;x
28;18;33;21;0;16;17;22;x
28;12;33;21;0;16;12;22;x
