´txW™X6ðè$<InÍÁ4â²Ù0;33;31;0;0;0;10;0;x
0;25;36;0;0;0;10;0;x
0;20;41;0;0;12;10;0;x
29;20;44;0;0;12;10;10;x
29;22;44;0;0;12;10;11;x
32;22;40;0;0;12;10;11;x
32;16;45;0;0;14;10;11;x
32;29;45;0;0;14;10;11;x
32;35;35;0;0;14;14;11;x
46;38;29;0;0;14;28;28;x
32;24;35;0;0;14;8;28;x
22;24;39;0;0;14;8;28;x
22;19;41;0;0;14;8;28;x
22;21;34;0;0;14;8;28;x
22;21;33;0;0;14;14;14;x
29;29;29;0;0;14;18;14;x
36;26;22;0;0;23;18;14;x
31;26;37;0;0;23;18;14;x
32;29;30;0;0;24;18;23;x
32;24;33;0;0;24;18;23;x
32;29;38;0;0;24;14;23;x
32;21;52;0;0;24;14;23;x
15;21;52;0;0;24;14;23;x
32;21;30;0;0;24;14;8;x
32;21;60;0;0;24;14;8;x
32;21;60;0;0;24;11;8;x
27;22;37;0;0;7;11;8;x
27;22;39;0;0;14;11;8;x
27;24;38;20;0;14;15;8;x
27;17;47;10;0;14;15;7;x
24;19;50;10;0;14;15;7;x
