STUDBME1;STUDBME2;iot;ARC3;adel;CMP_LAB4;CMP_LAB2;CMP_LAB1;Label
22;45;42;0;58;28;17;29;106
22;60;34;0;55;28;17;32;106
22;51;34;0;48;28;29;29;106
21;63;34;0;45;30;29;29;106
21;44;34;0;64;30;29;29;106
21;39;34;0;48;30;29;23;106
21;31;34;0;40;30;29;24;106
23;42;34;0;44;30;29;24;106
18;35;13;0;42;23;29;24;106
18;43;13;0;39;23;29;24;106
18;37;13;0;40;19;29;18;106
18;40;13;0;41;19;29;18;106
18;36;13;0;44;19;21;18;106
18;41;13;0;41;19;21;18;106
18;41;13;0;40;19;21;17;106
19;36;13;0;44;19;21;17;106
19;38;13;0;49;19;21;17;106
19;41;13;0;59;19;25;17;106
